controller,terrain,adhesion,speed
cpg,flat,True,9.013830942742368
cpg,flat,True,8.699427770756062
cpg,flat,True,8.82372327963081
cpg,flat,True,9.121168902338201
cpg,flat,True,8.905803175722921
cpg,flat,True,9.021166937271186
cpg,flat,True,8.930118286427689
cpg,flat,True,9.074036847426846
cpg,flat,True,8.664058074101675
cpg,flat,True,9.274176054303537
decentralized,flat,True,6.954343271681463
decentralized,flat,True,6.982927671467143
decentralized,flat,True,6.953127839979729
decentralized,flat,True,6.620996705256628
decentralized,flat,True,7.121759868441705
decentralized,flat,True,6.652778234386918
decentralized,flat,True,8.450283753582722
decentralized,flat,True,6.995380082562149
decentralized,flat,True,6.506536803641483
decentralized,flat,True,6.641084071133893
hybrid,flat,True,9.31018221661493
hybrid,flat,True,8.877228971402465
hybrid,flat,True,9.034291889947395
hybrid,flat,True,9.232243587048693
hybrid,flat,True,9.036724869302462
hybrid,flat,True,9.052619710194014
hybrid,flat,True,9.033254782141471
hybrid,flat,True,8.847172685797002
hybrid,flat,True,9.129747309691808
hybrid,flat,True,8.659523262873963
cpg,blocks,True,7.7562731835077905
cpg,blocks,True,4.693232688714573
cpg,blocks,True,8.420700063584626
cpg,blocks,True,8.046036892559957
cpg,blocks,True,7.131445551027941
cpg,blocks,True,7.096167688921405
cpg,blocks,True,6.316914404729756
cpg,blocks,True,7.727767300785019
cpg,blocks,True,7.607550644997484
cpg,blocks,True,5.167227528219391
decentralized,blocks,True,5.652072150942772
decentralized,blocks,True,5.644229167965309
decentralized,blocks,True,6.424342193745851
decentralized,blocks,True,4.986620844936043
decentralized,blocks,True,6.4082365748093855
decentralized,blocks,True,4.883411300604574
decentralized,blocks,True,5.669932852453865
decentralized,blocks,True,5.727730891165936
decentralized,blocks,True,6.725590990953245
decentralized,blocks,True,6.332203237756637
hybrid,blocks,True,9.489241419780601
hybrid,blocks,True,4.317069690713585
hybrid,blocks,True,9.045672442419313
hybrid,blocks,True,8.279463167067712
hybrid,blocks,True,8.665616516958439
hybrid,blocks,True,5.456396295992453
hybrid,blocks,True,8.955346766895367
hybrid,blocks,True,9.122764530577733
hybrid,blocks,True,9.016069624419275
hybrid,blocks,True,7.756827107649176
cpg,gapped,True,5.259468548905506
cpg,gapped,True,1.5862607787711867
cpg,gapped,True,4.387922282403907
cpg,gapped,True,1.1143111700617772
cpg,gapped,True,8.117452396443593
cpg,gapped,True,6.985222934924195
cpg,gapped,True,7.987205830644983
cpg,gapped,True,7.569589582428812
cpg,gapped,True,4.95006405022276
cpg,gapped,True,7.951970128743837
decentralized,gapped,True,5.67322462881031
decentralized,gapped,True,5.771057219576709
decentralized,gapped,True,4.646836950347719
decentralized,gapped,True,5.011385062272374
decentralized,gapped,True,3.8832389506421
decentralized,gapped,True,4.476219677722738
decentralized,gapped,True,5.8697643232221335
decentralized,gapped,True,2.9389569636167057
decentralized,gapped,True,0.9622017636762284
decentralized,gapped,True,5.215325055389695
hybrid,gapped,True,8.209871762856158
hybrid,gapped,True,8.083007515597393
hybrid,gapped,True,8.999894305185727
hybrid,gapped,True,9.068198820589338
hybrid,gapped,True,8.567593546339245
hybrid,gapped,True,8.663720225899924
hybrid,gapped,True,3.8652551682822307
hybrid,gapped,True,8.12199425784857
hybrid,gapped,True,8.84652702074971
hybrid,gapped,True,7.935914078730213
cpg,mixed,True,3.2095773137173356
cpg,mixed,True,8.502244571721496
cpg,mixed,True,1.2920905015920734
cpg,mixed,True,8.212043320799369
cpg,mixed,True,7.809246065672685
cpg,mixed,True,1.799600282892845
cpg,mixed,True,9.49616819664874
cpg,mixed,True,8.121969687807947
cpg,mixed,True,3.6098527013243684
cpg,mixed,True,7.329749461242189
decentralized,mixed,True,3.504404504659374
decentralized,mixed,True,2.115014641373716
decentralized,mixed,True,1.4727654933852552
decentralized,mixed,True,6.567519309447514
decentralized,mixed,True,6.713345108930434
decentralized,mixed,True,5.80109080643964
decentralized,mixed,True,2.1684229469466665
decentralized,mixed,True,6.562981277701692
decentralized,mixed,True,3.739487378044929
decentralized,mixed,True,2.057541361113725
hybrid,mixed,True,8.214256676982648
hybrid,mixed,True,8.721174214699824
hybrid,mixed,True,9.074295516284272
hybrid,mixed,True,8.216429711962258
hybrid,mixed,True,9.585255203256706
hybrid,mixed,True,7.67021083375591
hybrid,mixed,True,7.339860281174727
hybrid,mixed,True,8.549741916107081
hybrid,mixed,True,8.47319463368689
hybrid,mixed,True,8.451255902779664
